Address,City,State,Zip Code,Latitude,Longitude,Number Of Bathrooms,Number of Bedrooms,Price,Price Per Square Foot,Square Feet,Year Built,Sold
5915 Poppy Ave,Springdale,AR,72762,36.209375,-94.1953168,3,4,550000,191,2874,2022,1
1929 Wilkes Ave,Springdale,AR,72762,36.2051513,-94.202866,6,5,700000,133,5258,2007,1
1224 W Huntsville Ave,Springdale,AR,72764,36.189146,-94.1426213,4,4,460000,100,4609,1949,1
703 Sherman St,Springdale,AR,72764,36.1909951,-94.1449388,2,3,230000,140,1646,1970,1
1801 Lawrence Ave,Springdale,AR,72762,36.1928906,-94.1519563,2,3,273000,137,1997,1964,1
715 Morrison Pl,Springdale,AR,72762,36.1944403,-94.1554954,2,3,240000,167,1437,1965,1
505 Betty St,Springdale,AR,72762,36.1900582,-94.1701541,2,3,247000,196,1259,1982,1
1704 Granada St,Springdale,AR,72762,36.2012892,-94.1600795,4,4,548000,132,4154,1992,1
1984 Silverado Pl,Springdale,AR,72762,36.2016629,-94.1553554,2,3,364900,175,2085,2002,1
3275 Thornbury Dr,Springdale,AR,72764,36.2136918,-94.1471779,5,5,865000,183,4720,2007,1
1555 London Ter,Springdale,AR,72764,36.2199002,-94.1457185,2,3,335000,186,1800,1998,1
1308 W Stultz Rd,Springdale,AR,72764,36.2216299,-94.1422,2,2,335000,189,1774,1980,1
6200 W Tumbler Rdg,Rogers,AR,72758,36.2813197,-94.2019405,3,4,565000,209,2708,2017,1
6002 W Woodbine Dr,Rogers,AR,72758,36.2826723,-94.1999842,4,4,520000,219,2372,2015,1
5604 S 59th St,Rogers,AR,72758,36.2834592,-94.1986434,4,6,860000,238,3610,2021,1
6105 W Noble St,Rogers,AR,72758,36.285294,-94.2013462,3,4,714250,201,3560,2006,1
5301 S 60th Pl,Rogers,AR,72758,36.2877088,-94.1992437,4,5,730000,184,3968,2007,1
6101 W Laurel Hill Ln,Rogers,AR,72758,36.2857285,-94.2004816,4,4,608400,181,3361,2006,1
6513 W Pleasant Way,Rogers,AR,72758,36.2898504,-94.2070074,3,3,413000,220,1874,2016,1
6602 W Braebourne Dr,Rogers,AR,72758,36.2813183,-94.2090506,3,4,560000,199,2812,2003,1
5603 S Chadwick Dr,Rogers,AR,72758,36.2814168,-94.216477,3,5,563000,199,2826,2007,1
713 Cannon Cv,Cave Springs,AR,72718,36.26616,-94.22324,2,4,465165,227,2048,2023,1
3812 W Pawnee Rd,Rogers,AR,72758,36.3161547,-94.1727544,3,3,370000,211,1752,2016,1
4606 W Centre Ct,Rogers,AR,72758,36.3271168,-94.1838166,4,4,455000,132,3434,1987,1
5913 W Willow St,Rogers,AR,72758,36.3260465,-94.1975027,2,3,427000,215,1987,2013,1
6115 S 37th St,Rogers,AR,72758,36.273083,-94.168794,2,3,328000,202,1624,2012,1
3603 W Olive St,Rogers,AR,72756,36.3422114,-94.1708341,2,3,333500,179,1861,2004,1
3902 W Mockingbird Ln,Rogers,AR,72756,36.3427393,-94.1738744,2,3,334000,184,1820,1989,1
1204 N 35th St,Rogers,AR,72756,36.3467712,-94.167894,2,3,425000,184,2312,1995,1
902 N 37th St,Rogers,AR,72756,36.3430624,-94.1700541,2,3,315000,196,1611,1994,1
905 N Quail Ter,Rogers,AR,72756,36.3435955,-94.1717342,2,3,350000,160,2184,1995,1
3607 W Center St,Rogers,AR,72756,36.3442432,-94.1695141,2,3,350000,195,1791,1995,1
3009 W Parkwood Dr,Rogers,AR,72756,36.3386922,-94.156963,2,3,278000,144,1934,1979,1
2604 W Magnolia St,Rogers,AR,72758,36.3216071,-94.1581548,2,3,360000,169,2132,1976,1
1700 S 26th St,Rogers,AR,72758,36.3177284,-94.1578749,2,3,424000,271,1566,1976,1
1615 S Beth Dr,Rogers,AR,72758,36.3179507,-94.1477977,2,3,340000,207,1641,1992,1
1119 S 13th St,Rogers,AR,72758,36.3238564,-94.1340646,4,4,480000,156,3085,1997,1
905 S 12th Pl,Rogers,AR,72756,36.3256921,-94.1323057,2,3,315000,178,1770,1977,1
1020 S 3rd St,Rogers,AR,72756,36.3242864,-94.1197356,2,3,329000,196,1681,1930,1
115 E Glendale Ln,Rogers,AR,72758,36.3094348,-94.1159165,2,3,320000,204,1566,2017,1
1007 E Olrich St,Rogers,AR,72756,36.3177614,-94.1017151,3,3,344400,204,1692,2020,1
2720 S Dixieland Rd,Rogers,AR,72758,36.2924252,-94.1451187,3,4,405000,151,2684,1950,1
2701 S Taylor Ct,Rogers,AR,72758,36.2936138,-94.1437593,3,4,575000,190,3031,2017,1
6508 S Timber Ridge Dr,Rogers,AR,72758,36.2662381,-94.1771149,3,3,500000,194,2578,2006,1
2012 Quinlan Ave,Lowell,AR,72745,36.2585922,-94.1804757,2,4,400000,208,1921,2016,1
2305 Hickory Wood Ave,Lowell,AR,72745,36.259516,-94.1873378,2,4,300000,206,1453,2019,1
1702 Shook Dr,Cave Springs,AR,72718,36.2562288,-94.2015051,3,4,489250,187,2619,2018,1
1300 Chancery Ln,Cave Springs,AR,72718,36.2789179,-94.2111726,3,3,395000,198,1996,2007,1
906 Ravine St,Cave Springs,AR,72718,36.2456017,-94.2174379,2,3,365000,215,1700,2013,1
4707 Willow Ridge Way,Rogers,AR,72758,36.2649906,-94.1831764,4,5,725000,187,3879,2012,1
4813 Willow Ridge Way,Rogers,AR,72758,36.2659601,-94.1820561,4,4,440000,172,2555,2006,1
6216 S 29th St,Rogers,AR,72758,36.2705109,-94.1630942,3,4,640000,212,3014,2014,1
5611 S 43rd St,Bentonville,AR,72758,36.283102,-94.1755747,3,4,482000,220,2191,2001,1
4300 W Worthington Dr,Rogers,AR,72758,36.2860275,-94.1759547,2,4,408900,191,2137,1998,1
5302 S 45th St,Rogers,AR,72758,36.2872421,-94.1805357,2,4,399900,196,2045,1999,1
4606 W Langmead Dr,Rogers,AR,72758,36.268609,-94.1879581,3,4,525000,207,2532,2013,1
4604 W Hillside Dr,Rogers,AR,72758,36.2915724,-94.1824562,3,4,565000,206,2737,2001,1
5101 S 44th St,Rogers,AR,72758,36.2905922,-94.1766148,5,4,867000,207,4180,1998,1
6125 W Pleasant Dr,Rogers,AR,72758,36.2895273,-94.2016452,2,3,323000,210,1541,2001,1
1730 S 14th Pl,Rogers,AR,72758,36.3146753,-94.1398412,2,3,285000,181,1573,1990,1
1504 W Centennial Dr,Rogers,AR,72758,36.3128572,-94.1410806,2,3,310000,194,1596,1991,1
1009 S 19th St,Rogers,AR,72758,36.3221377,-94.1452787,2,3,300000,148,2026,1981,1
914 S 20th St,Rogers,AR,72758,36.3245132,-94.146858,2,4,369000,139,2652,1971,1
2814 W New Hope Rd,Rogers,AR,72758,36.311033,-94.1632342,3,3,800000,271,2953,1979,1
2319 S Matterhorn Blvd,Rogers,AR,72758,36.2994476,-94.1626942,4,4,718000,200,3588,2006,1
702 S 5th St,Rogers,AR,72756,36.3277592,-94.121687,2,3,375000,305,1230,1928,1
510 S 2nd St,Rogers,AR,72756,36.3292454,-94.1183845,2,3,265777,218,1218,1940,1
808 E Olrich St,Rogers,AR,72756,36.3189633,-94.1073483,2,3,240000,184,1303,2001,1
600 E Pinion St,Rogers,AR,72756,36.3216365,-94.1107446,2,3,270000,215,1256,2001,1
501 S 11th Pl,Rogers,AR,72756,36.3298042,-94.1313264,3,3,331806,159,2091,1972,1
1440 Overo Cir,Springdale,AR,72762,36.198636,-94.157195,3,5,470000,138,3400,1975,1
1108 Bronco Ln,Springdale,AR,72762,36.1984665,-94.1486373,2,3,270000,162,1665,1971,1
1562 Thistle Wood Ln,Springdale,AR,72764,36.2013624,-94.1462982,2,4,300000,163,1845,2005,1
2153 Tall Tree Ln,Springdale,AR,72762,36.2064609,-94.1530959,2,3,360000,169,2130,2005,1
1703 Ridgecrest St,Springdale,AR,72762,36.1710908,-94.1694941,3,3,367500,175,2097,1985,1
1405 Ridgecrest St,Springdale,AR,72762,36.1733802,-94.1694141,2,3,306500,150,2050,1980,1
3002 Kay Ln,Springdale,AR,72762,36.2065141,-94.166214,3,4,465000,166,2797,1981,1
2332 Tall Tree Ln,Springdale,AR,72762,36.2070717,-94.1550155,3,4,388883,171,2270,2005,1
2545 Jean St,Springdale,AR,72762,36.1629083,-94.168534,2,3,315000,183,1726,1994,1
1801 Colby Cir,Springdale,AR,72764,36.1686259,-94.1058501,2,3,370500,159,2330,1993,1
1987 Green Acres Cir,Springdale,AR,72764,36.1672997,-94.090111,3,4,327400,151,2164,1987,1
301 Terry Ave,Springdale,AR,72764,36.1556831,-94.1374225,2,3,320000,159,2012,1977,1
497 Bordeaux Ave,Springdale,AR,72764,36.1537205,-94.1279888,3,4,399999,185,2159,2004,1
3503 Belinda Ln,Springdale,AR,72764,36.1532656,-94.117178,2,4,335000,178,1877,2004,1
4260 Tahoe Circle Dr,Springdale,AR,72762,36.1522053,-94.162048,3,5,725000,174,4173,1996,1
2990 Willow Bend Cir,Springdale,AR,72762,36.1494281,-94.1639741,4,4,1150000,304,3787,2003,1
2944 Shadow Crest Ln,Springdale,AR,72762,36.1483517,-94.1632542,3,4,780000,236,3300,2002,1
2204 Cottonwood Pl,Springdale,AR,72762,36.1456248,-94.1594346,2,3,235000,211,1116,1971,1
3065 Loyalty Ln,Springdale,AR,72762,36.14642,-94.167654,5,5,958000,244,3934,2013,1
2632 Bent Trl,Springdale,AR,72762,36.1400768,-94.1618343,3,4,490000,188,2612,1999,1
4887 Cedar Ridge Dr,Springdale,AR,72764,36.1410643,-94.1355874,3,4,430000,174,2468,1997,1
203 Annie Laurie Ave,Springdale,AR,72764,36.1505124,-94.1332051,4,4,420000,110,3811,1977,1
739 N Fallin Ave,Fayetteville,AR,72701,36.0731404,-94.1487573,2,2,375000,298,1260,1997,1
249 E Prospect St,Fayetteville,AR,72701,36.0738691,-94.1547082,2,3,380000,287,1326,1947,1
1156 E Lakefront Dr,Fayetteville,AR,72703,36.0775181,-94.1502968,3,3,785000,321,2445,1965,1
787 E Birwin St,Fayetteville,AR,72703,36.0809245,-94.1474178,2,3,410000,211,1947,2007,1
1788 N Rayview Dr,Fayetteville,AR,72703,36.0860409,-94.1508766,2,3,445000,270,1650,1967,1
1355 E Amber Dr,Fayetteville,AR,72703,36.0881872,-94.1406968,2,3,394000,238,1654,1988,1
1904 N Libby Ln,Fayetteville,AR,72703,36.0871872,-94.1333115,3,4,665000,273,2438,2020,1
1717 E Overcrest St,Fayetteville,AR,72703,36.0911433,-94.1356642,2,4,433000,210,2065,1975,1
860 E Peel St,Fayetteville,AR,72703,36.0936952,-94.1452787,2,3,355000,205,1728,1965,1
1153 E Glenn Ln,Fayetteville,AR,72703,36.1043586,-94.1421201,3,5,511153,184,2779,1967,1
1763 N Hartford Dr,Fayetteville,AR,72701,36.0846661,-94.1076081,3,4,468500,204,2300,2001,1
2725 N Azalea Ter,Fayetteville,AR,72703,36.1003049,-94.1281287,2,3,300000,209,1436,1980,1
2658 N McAllister Aly,Fayetteville,AR,72703,36.099451,-94.130758,3,3,478000,255,1873,2022,1
1363 E Harold St,Fayetteville,AR,72703,36.1094191,-94.1404009,3,5,410000,184,2230,1971,1
2172 E Deer Creek Dr,Fayetteville,AR,72703,36.1101391,-94.1305669,3,3,423880,200,2121,1994,1
2439 E Elaine Ave,Fayetteville,AR,72703,36.1119854,-94.1261702,2,3,380000,206,1844,1976,1
1207 N Shady Ln,Fayetteville,AR,72703,36.0784535,-94.1637364,2,3,475000,309,1536,1946,1
2050 N Dutton Pl,Fayetteville,AR,72703,36.089476,-94.1600719,4,4,679900,256,2656,2023,1
3052 E Crestline Pl,Fayetteville,AR,72701,36.0687782,-94.1183969,4,4,725000,200,3624,2014,1
3263 N Delmonico Dr,Fayetteville,AR,72703,36.1089004,-94.0905902,3,5,590000,200,2943,2009,1
2848 N Peg Ln,Fayetteville,AR,72703,36.103463,-94.1545556,3,3,230000,190,1209,1978,1
3127 N Tartan Way,Fayetteville,AR,72703,36.1088617,-94.1245715,3,3,275500,134,2050,1989,1
1611 E Thornhill Dr,Fayetteville,AR,72703,36.1109279,-94.1372027,2,3,365000,212,1723,1990,1
207 Angel Falls Ln,Springdale,AR,72762,36.187435,-94.196222,4,4,505000,153,3309,2007,1
5561 Little Field Ave,Springdale,AR,72762,36.2060116,-94.1912924,2,3,408273,207,1968,2023,1
519 Concord St,Lowell,AR,72745,36.2629094,-94.140695,2,4,350000,180,1949,1996,1
5743 W Cobbler Pl,Rogers,AR,72758,36.2764887,-94.1777845,4,5,675000,211,3194,2023,1
5206 S 47th St,Rogers,AR,72758,36.2890981,-94.1849203,3,4,560000,224,2500,2000,1
505 W Broadway St,Rogers,AR,72758,36.2875333,-94.125131,2,3,200000,156,1284,2013,1
1717 W Cunningham Ave,Rogers,AR,72758,36.2965137,-94.1430396,3,5,425000,196,2170,2005,1
1272 E State Highway 264,Springdale,AR,72764,36.2253131,-94.1155646,3,4,428000,121,3542,1997,1
1606 S 20th St,Rogers,AR,72758,36.3187007,-94.1471248,2,3,295000,173,1703,1991,1
1110 N Quail Ter,Rogers,AR,72756,36.3457731,-94.1722943,3,3,420000,181,2326,1997,1
817 N Lakeview Dr,Rogers,AR,72756,36.3363515,-94.1055904,2,3,340000,131,2596,1960,1
2 E Crestwood Dr,Rogers,AR,72756,36.3423739,-94.1043319,3,6,465000,95,4896,1973,1
1103 N Overlook Dr,Rogers,AR,72756,36.3432333,-94.0983594,3,4,460000,181,2541,2000,1
1116 E Prairie Creek Dr,Rogers,AR,72756,36.3437423,-94.0858456,2,3,460000,186,2472,1990,1
2701 W Sayre Ln,Rogers,AR,72758,36.3329486,-94.152836,2,4,359799,159,2263,1972,1
1813 SW Pine Ave,Bentonville,AR,72713,36.3343145,-94.2333555,3,5,427000,167,2550,2002,1
1101 Thornridge Rd,Bentonville,AR,72713,36.3405291,-94.2542098,4,5,455000,162,2816,2006,1
1907 SW Fremont St,Bentonville,AR,72713,36.3519657,-94.2372825,2,3,330000,190,1739,2003,1
6307 SW Beacon St,Bentonville,AR,72713,36.311817,-94.25043,3,4,475000,196,2424,2023,1
1000 Lakeview Dr,Centerton,AR,72719,36.3530395,-94.2676496,2,3,399000,201,1983,2021,1
1230 Brandon Way,Bentonville,AR,72712,36.3420176,-94.2639627,3,4,489000,190,2569,2017,1
700 SW Sterling Pl,Bentonville,AR,72712,36.3682968,-94.2495783,3,4,455000,164,2775,2005,1
832 McCann Rd,Rogers,AR,72758,36.2972731,-94.1037526,2,3,315000,203,1555,2002,1
2904 E Blue Hill Dr,Rogers,AR,72758,36.3074486,-94.0855778,2,4,399500,187,2141,1991,1
2209 S 9th St,Rogers,AR,72758,36.297692,-94.1277787,2,3,300000,190,1575,2023,1
2455 Sequoyah Dr,Rogers,AR,72758,36.3031214,-94.0853981,2,3,385000,213,1808,1986,1
2600 E Pleasant Ln,Rogers,AR,72758,36.3057604,-94.0879742,3,4,379000,159,2383,1977,1
1206 W Cunningham Ave,Rogers,AR,72758,36.2957657,-94.1347042,2,3,275000,204,1350,2011,1
4604 W Knoll View Way,Rogers,AR,72758,36.2888089,-94.1822729,3,3,495000,190,2606,2000,1
4500 W Hillside Dr,Rogers,AR,72758,36.2914898,-94.1799755,5,5,720000,185,3882,2000,1
2310 Pleasant Ridge Rd,Rogers,AR,72756,36.3178873,-94.089372,2,4,310000,140,2217,1997,1
13764 Sassafras Cir,Rogers,AR,72756,36.3240143,-94.0777119,2,2,406000,210,1932,2002,1
809 S Riviera Dr,Rogers,AR,72758,36.3303297,-94.1601145,2,3,325000,194,1672,1985,1
5433 W Chardonnay Ct,Rogers,AR,72758,36.3221019,-94.1949297,4,4,669500,199,3368,2005,1
108 Woodcliff Ln,Rogers,AR,72756,36.3316549,-94.0915488,3,3,490750,191,2564,1988,1
1104 E Hilltop Dr,Rogers,AR,72756,36.3473455,-94.0991983,4,5,445000,163,2730,1997,1
1006 N Dove Dr,Rogers,AR,72756,36.3446938,-94.1790153,2,4,356000,180,1979,1986,1
1908 SE Clark St,Bentonville,AR,72712,36.3535468,-94.1893282,2,2,330000,201,1639,2003,1
1301 Convair St,Bentonville,AR,72712,36.3578435,-94.1871778,2,3,338500,306,1107,1968,1
1510 W Kelley Dr,Rogers,AR,72756,36.3593176,-94.1399012,2,3,390000,186,2098,2016,1
2912 N 14th St,Rogers,AR,72756,36.3601343,-94.1358235,3,3,396000,180,2198,2016,1
605 Paradise Way,Bentonville,AR,72712,36.366264,-94.1782952,2,4,466000,241,1934,1998,1
2706 Pleasant View Ln,Bentonville,AR,72712,36.3683978,-94.1782752,2,3,440000,253,1737,1995,1
5004 SW Go Green Ave,Bentonville,AR,72712,36.3639995,-94.268872,3,4,399900,144,2774,2018,1
409 SW Barn Valley Rd,Bentonville,AR,72712,36.3674978,-94.2554278,2,3,410000,228,1802,2010,1
3102 Peach Blossom,Bentonville,AR,72712,36.3726101,-94.2458526,3,3,380500,161,2360,1993,1
3004 NW Apple Harvest,Bentonville,AR,72712,36.3752233,-94.2448111,2,4,415000,205,2027,1999,1
450 Curtis St,Centerton,AR,72719,36.361451,-94.2781506,2,3,325000,177,1832,2005,1
231 Florence Dr,Centerton,AR,72719,36.379782,-94.2810568,5,4,625000,192,3248,2015,1
531 Morgan St,Centerton,AR,72719,36.378997,-94.29008,3,4,517020,210,2462,2023,1
10866 Easy St,Bentonville,AR,72712,36.3811878,-94.2682908,3,3,550000,302,1824,1980,1
1020 Leigh St,Centerton,AR,72719,36.3693902,-94.2982366,3,3,410000,170,2408,2021,1
803 NW 9th St,Bentonville,AR,72712,36.3812615,-94.218539,2,4,400000,260,1536,1998,1
1402 NW K St,Bentonville,AR,72712,36.3883811,-94.224405,2,3,425000,209,2030,1989,1
2402 Trails End Dr,Bentonville,AR,72712,36.383134,-94.1838166,3,4,420000,199,2106,1980,1
3903 NE Nightingale,Bentonville,AR,72712,36.3848846,-94.1650941,4,4,750000,210,3577,2003,1
3800 NE Oakbrooke Ave,Bentonville,AR,72712,36.3888912,-94.166454,3,4,540000,245,2202,2017,1
2103 Chaucer,Bentonville,AR,72712,36.393074,-94.174787,5,4,625000,171,3660,2024,1
5 Geyer Rd,Bentonville,AR,72712,36.3959707,-94.225306,2,3,472000,225,2096,1994,1
961 Harvest St,Centerton,AR,72719,36.3711707,-94.2899979,2,4,360000,182,1983,2006,1
600 Bronco St,Centerton,AR,72719,36.378717,-94.290633,3,4,549500,212,2594,2023,1
13934 Pyramid Dr,Rogers,AR,72758,36.2849029,-94.0740571,2,3,350000,175,2003,1997,1
1404 W Gum St,Rogers,AR,72758,36.3202469,-94.1388418,3,4,420000,190,2208,2017,1
5307 S Bellview Rd,Rogers,AR,72758,36.285991,-94.171162,3,4,516500,230,2244,1994,1
1702 S B St,Rogers,AR,72756,36.3153008,-94.1155396,2,3,242000,194,1248,1996,1
2922 E Whippoorwill Ln,Fayetteville,AR,72701,36.0835131,-94.1196157,2,4,415000,171,2425,1994,1
2760 N Oakland Zion Rd,Fayetteville,AR,72703,36.1004464,-94.0998575,3,3,540000,202,2679,1993,1
540 E Lakeridge Dr,Fayetteville,AR,72703,36.0792921,-94.1498769,2,4,450000,225,2003,1970,1
321 & 319 W Center St,Fayetteville,AR,72701,36.0624945,-94.164125,5,5,725000,219,3312,1905,1
3406 N Par Ct,Fayetteville,AR,72703,36.1128336,-94.1218338,4,5,628900,210,3000,1993,1
700 E Dogwood Ln,Fayetteville,AR,72701,36.0677649,-94.1484774,3,3,400000,270,1481,1966,1
108 N Hartman Ave,Fayetteville,AR,72701,36.0646296,-94.1838766,2,3,344000,202,1701,1962,1
2518 N Candlewood Dr,Fayetteville,AR,72703,36.0967084,-94.1174378,10,5,2950000,334,8833,2007,1
3016 N Quail Creek Dr,Fayetteville,AR,72703,36.1064513,-94.1588347,2,3,341500,216,1583,1991,1
774 S Cherry Ln,Fayetteville,AR,72701,36.0542406,-94.1311265,2,4,250000,177,1416,1994,1
16729 Summer Rain Rd,Fayetteville,AR,72701,36.0666252,-94.0595251,4,4,665000,222,3000,2019,1
4722 N Rockledge Dr,Fayetteville,AR,72764,36.1355402,-94.1053107,3,4,560000,178,3152,2007,1
18944 Sonora Rd,Springdale,AR,72764,36.1433569,-94.0667108,4,4,565000,180,3144,2001,1
5546 Sugarloaf Ave,Springdale,AR,72764,36.1533121,-94.0697148,2,3,255900,208,1233,2023,1
120 San Jose Dr,Springdale,AR,72764,36.13705,-94.1519763,3,3,365000,154,2372,1989,1
1603 Delaware Pl,Springdale,AR,72764,36.1587292,-94.1479576,2,3,256000,173,1478,1970,1
1959 Spring Creek Ave,Springdale,AR,72764,36.1551873,-94.1099255,2,4,350000,177,1973,2005,1
2499 Tulip Tree Dr,Springdale,AR,72764,36.163444,-94.065954,3,3,940000,234,4014,1990,1
1353 E Clear Crk,Springdale,AR,72764,36.1434009,-94.1170182,3,2,320000,174,1836,1989,1
701 Fairway Cir,Springdale,AR,72764,36.1457675,-94.1399811,5,5,849000,162,5240,1992,0
20198 Fawn Rd,Springdale,AR,72764,36.1649657,-94.0590461,4,4,595000,187,3178,2018,1
511 Cortland St,Bentonville,AR,72712,36.400970,-94.289050,2,4,405000,195,2076,2020,1